claim_id,stage_id,metric,expected_value,unit,derivation,status,evidence_path
submission.participations,00-submission-anchor,downloaded participation artifacts,4,files,one file per track and model participation,captured,reproduction/00-submission-anchor/submissions.jsonl
submission.unique_blobs,00-submission-anchor,byte-distinct submitted solvers,2,SHA-256 digests,four files collapse to one Solo digest and one Marathon digest,verified,reproduction/00-submission-anchor/SHA256SUMS
submission.solo_bytes,00-submission-anchor,reported and captured Solo solver size,490327,bytes,SAIR display equals downloaded file size,verified,reproduction/00-submission-anchor/submissions.jsonl
submission.marathon_bytes,00-submission-anchor,reported and captured Marathon solver size,498047,bytes,SAIR display equals downloaded file size,verified,reproduction/00-submission-anchor/submissions.jsonl
input.equations,10-primary-9450,order-at-most-5 equation universe,62576,equations,Equational Theories Project input snapshot,verified,reproduction/10-primary-9450/summary.json
mining.model_identities,10-primary-9450,historical model identities,229666,identities,identity count before first-witness attribution,captured,reproduction/10-primary-9450/summary.json
primary.nonzero_contributors,10-primary-9450,nonzero first-witness contributors,9452,models,historical first-witness attribution,verified,reproduction/10-primary-9450/summary.json
primary.recoverable,10-primary-9450,recoverable primary tables,9450,tables,recovery from 9452 nonzero contributors,verified,reproduction/10-primary-9450/summary.json
registry.input,20-registered-9852,unique registered tables,402,tables,475 table-bearing manifests exact-deduplicate to 402 unique tables,verified,reproduction/20-registered-9852/summary.json
bank.9852,20-registered-9852,accumulated exact tables,9852,tables,9450 + 402,verified,reproduction/20-registered-9852/summary.json
d1.input,30-early-deltas-9957,d1 input tables,66,tables,early d1 snapshot,verified,reproduction/30-early-deltas-9957/summary.json
d1.overlap,30-early-deltas-9957,d1 exact overlaps,55,tables,exact byte identity against 9852 bank,verified,reproduction/30-early-deltas-9957/summary.json
d1.delta,30-early-deltas-9957,d1 new exact tables,11,tables,66 - 55,verified,reproduction/30-early-deltas-9957/summary.json
d2.input,30-early-deltas-9957,d2 input tables,145,tables,early d2 snapshot,verified,reproduction/30-early-deltas-9957/summary.json
d2.overlap,30-early-deltas-9957,d2 exact overlaps,51,tables,exact byte identity against prior bank,verified,reproduction/30-early-deltas-9957/summary.json
d2.delta,30-early-deltas-9957,d2 new exact tables,94,tables,145 - 51,verified,reproduction/30-early-deltas-9957/summary.json
bank.9957,30-early-deltas-9957,accumulated exact tables,9957,tables,9852 + 11 + 94,verified,reproduction/30-early-deltas-9957/summary.json
delivery.input,40-delivery-10059,later independently checked delivery,102,tables,later delivery snapshot,verified,reproduction/40-delivery-10059/summary.json
delivery.overlap,40-delivery-10059,delivery exact overlaps,0,tables,exact byte identity against 9957 bank,verified,reproduction/40-delivery-10059/summary.json
delivery.equation_references,40-delivery-10059,official equation formula references,204,references,102 source and 102 target formulas matched by Equation ID,verified,reproduction/40-delivery-10059/summary.json
delivery.distinct_equations,40-delivery-10059,distinct official equations referenced,195,equations,distinct Equation IDs across both delivery reports,verified,reproduction/40-delivery-10059/summary.json
bank.10059,40-delivery-10059,accumulated exact tables,10059,tables,9957 + 102,verified,reproduction/40-delivery-10059/summary.json
delivery.order4,50-generator-prune-3535,order-4 tables in later delivery,1,tables,order audit of the 102-table delivery,planned,
delivery.candidate_retained,50-generator-prune-3535,later-delivery tables retained in candidate pool,101,tables,102 - 1 order-4 table,planned,
prune.scalar_affine,50-generator-prune-3535,scalar-affine regenerated removals,241,tables,regenerated by solver affine enumerator,planned,
prune.order_le_4,50-generator-prune-3535,order-at-most-4 regenerated removals,6283,tables,regenerated by Fin4/CDCL search,planned,
candidate.3535,50-generator-prune-3535,order-greater-than-4 candidate pool,3535,tables,10059 - 241 - 6283,planned,
pairs.target,60-fin4-residual-284151591,target directed-pair universe,324157667,pairs,cardinality of target-universe bitset,planned,
pairs.fin4_covered,60-fin4-residual-284151591,Fin4-covered directed pairs,40006076,pairs,cardinality of Fin4 coverage bitset,planned,
pairs.residual,60-fin4-residual-284151591,residual directed pairs,284151591,pairs,324157667 - 40006076,planned,
coverage.zero_marginal,70-positive-marginal-core-1470,zero-marginal candidates,2065,tables,residual-pair coverage recomputation,planned,
core.1470,70-positive-marginal-core-1470,positive-marginal embedded core,1470,tables,3535 - 2065,planned,
finite149.no_submission_directions,80-finite149,order-4 experiment directions with no generated submission,789,directions,starting point of finite149 audit,planned,
finite149.directions,80-finite149,official false proof_false directions,149,directions,audit of 789 no-submission directions,planned,
finite149.base_tables,80-finite149,exact base tables,17,tables,exact reduction of 149 directions,planned,
finite149.required_transposes,80-finite149,required strict opposite orientations,11,tables,task-specific orientation audit,planned,
finite149.oriented_assets,80-finite149,task-specific oriented tables,28,tables,17 + 11,planned,
finite149.original_uses,80-finite149,directions using original orientation,129,directions,coverage assignment,planned,
finite149.transpose_uses,80-finite149,directions using transpose orientation,20,directions,coverage assignment,planned,
finite149.core_overlap,80-finite149,exact overlaps with prior 1470-table core,0,tables,exact byte identity check,planned,
finite149.official_payload_tables,80-finite149,byte-exact official payload tables,16,tables,17 appended records minus substitute,planned,
finite149.substitute_tables,80-finite149,verified substitute payload tables,1,tables,order-22 Refutation934 closed substructure,planned,
refutation934.official_order,80-finite149,official Refutation934 table order,24,elements,official Lean finite-refutation source,planned,
refutation934.substitute_order,80-finite149,substitute Refutation934 table order,22,elements,verified closed substructure,planned,
refutation934.covered_tasks,80-finite149,tasks covered by Refutation934 substitute,5,directions,direct exhaustive checks,planned,
payload.embedded,90-payload-1487,embedded payload records,1487,tables,1470 + 17,planned,
payload.declared_embedded,90-payload-1487,solver-declared embedded table count,1487,tables,static solver declaration,planned,
payload.decoded_embedded,90-payload-1487,decoded embedded table count,1487,tables,payload decoder audit,planned,
closure.added,100-opposite-closure-2901,missing strict transposes generated at runtime,1414,tables,exact transpose-membership derivation,planned,
closure.runtime,100-opposite-closure-2901,distinct oriented runtime scan tables,2901,tables,1487 + 1414,planned,
