append_sequence,submitted_record_index,stable_id,canonical_table_id,effective_order,expected_payload_orientation,source_of_order
0,1470,F149-001,sha256:862941542c9b1ef42526f7c9f6a68284a0ec1495f944cd8bb3ad4d563f332209,7,direct,reproduction/00-submission-anchor/raw/2026-08-31_marathon_openai-gpt-oss-120b_solver.py
1,1471,F149-002,sha256:dca266e8db7d5a76b30ed56737987875ba38a72640edf4667938de08a71f7b18,8,direct,reproduction/00-submission-anchor/raw/2026-08-31_marathon_openai-gpt-oss-120b_solver.py
2,1472,F149-003,sha256:722b13b7955326402d152731a3464f33734ad1dab6ec28701a0b4acb2b21c08a,9,direct,reproduction/00-submission-anchor/raw/2026-08-31_marathon_openai-gpt-oss-120b_solver.py
3,1473,F149-004,sha256:862c1e2535689d1ffe1e74ea2aea5e814006ea8cfde71016a5dd453423318c29,10,direct,reproduction/00-submission-anchor/raw/2026-08-31_marathon_openai-gpt-oss-120b_solver.py
4,1474,F149-005,sha256:05abf66b872ed99d72cbec8f471bb7daff7531979f9c3309f586c5b1fc282e4f,11,direct,reproduction/00-submission-anchor/raw/2026-08-31_marathon_openai-gpt-oss-120b_solver.py
5,1475,F149-006,sha256:83c3df511c21aeb27e3e01bb056b03f81959b101d73dd1cf1f8feaa7e1a98cfa,11,direct,reproduction/00-submission-anchor/raw/2026-08-31_marathon_openai-gpt-oss-120b_solver.py
6,1476,F149-007,sha256:7508fea886225b8d9c4a9d765dda7f956864e91419880a2da89a78357a189abe,11,direct,reproduction/00-submission-anchor/raw/2026-08-31_marathon_openai-gpt-oss-120b_solver.py
7,1477,F149-008,sha256:bc9028dd23c40d444b1a79e41a0a4ca732119402ecb63c885cc2732aeb56afe0,11,direct,reproduction/00-submission-anchor/raw/2026-08-31_marathon_openai-gpt-oss-120b_solver.py
8,1478,F149-009,sha256:090a69d595690037336e542e11dc129b4c680831c3d2283d47f4ced9378b8fe8,12,direct,reproduction/00-submission-anchor/raw/2026-08-31_marathon_openai-gpt-oss-120b_solver.py
9,1479,F149-010,sha256:5ceb07f4400adbcbc53ad7ca65d0baac29588ef1f40ce61939cf169a2460d4ea,12,direct,reproduction/00-submission-anchor/raw/2026-08-31_marathon_openai-gpt-oss-120b_solver.py
10,1480,F149-011,sha256:bbc525f73b182a7348df0607389361e4f0d9e9cf3604128634e3a0a35426e1ac,15,direct,reproduction/00-submission-anchor/raw/2026-08-31_marathon_openai-gpt-oss-120b_solver.py
11,1481,F149-012,sha256:e23290d1bec43dfec04cd3a3512a017323caedab400b0615f060db9b57d99891,19,direct,reproduction/00-submission-anchor/raw/2026-08-31_marathon_openai-gpt-oss-120b_solver.py
12,1482,F149-013,sha256:e5c21165d9aa661c3b5a8c6c74ff09f267f3668d643df677994f4ef99ed7b0cf,21,direct,reproduction/00-submission-anchor/raw/2026-08-31_marathon_openai-gpt-oss-120b_solver.py
13,1483,F149-014,sha256:8a1868e8b86dca79df6029dcd8344375b18e9c0b0b4d0b2e25fa19e1591c2b3c,22,direct,reproduction/00-submission-anchor/raw/2026-08-31_marathon_openai-gpt-oss-120b_solver.py
14,1484,F149-015,sha256:2758b4c84a97d98d4ec1cf298854ae293a179aa0163a727f7ff5f351b040fe90,32,direct,reproduction/00-submission-anchor/raw/2026-08-31_marathon_openai-gpt-oss-120b_solver.py
15,1485,F149-016,sha256:05ff71cbbbad68ea95866cc1e9595c5f1c416676fefb6e76f40d80d0195dd88c,36,direct,reproduction/00-submission-anchor/raw/2026-08-31_marathon_openai-gpt-oss-120b_solver.py
16,1486,F149-017,sha256:48d3995f813c0cad3922faca21adf32d48c63ee9f98c9398dceb4b9b3f3068fb,65,direct,reproduction/00-submission-anchor/raw/2026-08-31_marathon_openai-gpt-oss-120b_solver.py
