stable_id,append_sequence,submitted_record_index,base_model_id,record_kind,payload_orientation,official_order,effective_order,canonical_table_id,compact_json_table_id,official_source,is_refutation934_substitute
F149-001,0,1470,ofc01_n7_9da4e2ff69e1,exact-explicit,direct,7,7,sha256:862941542c9b1ef42526f7c9f6a68284a0ec1495f944cd8bb3ad4d563f332209,sha256:9da4e2ff69e114047f17eae7039ad1f04cc4c8d498fe97c2b1fb49c9a56df035,equational_theories/Generated/All4x4Tables/Refutation888.lean,false
F149-002,1,1471,ofc02_n8_8b85f28b0fef,exact-explicit,direct,8,8,sha256:dca266e8db7d5a76b30ed56737987875ba38a72640edf4667938de08a71f7b18,sha256:8b85f28b0fefc9f600984c96e709ff04fc02ff862fc9af4da88ffa9b5fe5731c,equational_theories/Generated/All4x4Tables/Refutation927.lean,false
F149-003,2,1472,ofc03_n9_c66912e4fadf,exact-explicit,direct,9,9,sha256:722b13b7955326402d152731a3464f33734ad1dab6ec28701a0b4acb2b21c08a,sha256:c66912e4fadfc12dfa8707c580f937f6f3eb17ee6959e54bbcde59492b9573e2,equational_theories/Generated/All4x4Tables/Refutation39.lean,false
F149-004,3,1473,ofc04_n10_d8fb33db6541,exact-explicit,direct,10,10,sha256:862c1e2535689d1ffe1e74ea2aea5e814006ea8cfde71016a5dd453423318c29,sha256:d8fb33db6541ef828dd88b0e72521b60d223feb0e8e92419fb4e719a872bec23,equational_theories/Generated/All4x4Tables/Refutation928.lean,false
F149-005,4,1474,ofc05_n11_0b170426f09e,exact-explicit,direct,11,11,sha256:05abf66b872ed99d72cbec8f471bb7daff7531979f9c3309f586c5b1fc282e4f,sha256:0b170426f09ee0ece2f9533e845d99d4015c8d3fb96add2bef57b04a28cd73b7,equational_theories/Generated/All4x4Tables/Refutation918.lean,false
F149-006,5,1475,ofc06_n11_14f62cefd744,exact-explicit,direct,11,11,sha256:83c3df511c21aeb27e3e01bb056b03f81959b101d73dd1cf1f8feaa7e1a98cfa,sha256:14f62cefd7449dfb515c6afa18b8c26afe838e54a9438944dd53e3dc62fafc1d,equational_theories/Generated/All4x4Tables/Refutation921.lean,false
F149-007,6,1476,ofc07_n11_303b013095dc,exact-explicit,direct,11,11,sha256:7508fea886225b8d9c4a9d765dda7f956864e91419880a2da89a78357a189abe,sha256:303b013095dc13f81e66a290cd4e41d79ee3f0c7b8b06dadc4634e6bc5c25dab,equational_theories/Generated/All4x4Tables/Refutation36.lean,false
F149-008,7,1477,ofc08_n11_aee9e49403ef,exact-explicit,direct,11,11,sha256:bc9028dd23c40d444b1a79e41a0a4ca732119402ecb63c885cc2732aeb56afe0,sha256:aee9e49403effc17d46475f661c76348b0ed9b5988bfced40e099bff7aa30fbc,equational_theories/Generated/All4x4Tables/Refutation870.lean,false
F149-009,8,1478,ofc09_n12_651394e7e354,exact-explicit,direct,12,12,sha256:090a69d595690037336e542e11dc129b4c680831c3d2283d47f4ced9378b8fe8,sha256:651394e7e354a9c7eb227187800e94b12e7268d2c075759b39952f5d7c971bb7,equational_theories/Generated/All4x4Tables/Refutation925.lean,false
F149-010,9,1479,ofc10_n12_bb99d35bc896,exact-explicit,direct,12,12,sha256:5ceb07f4400adbcbc53ad7ca65d0baac29588ef1f40ce61939cf169a2460d4ea,sha256:bb99d35bc8965ea6006764ab737f3ee1b0e7956b61f4a72b96b0edba05d73dd9,equational_theories/Generated/All4x4Tables/Refutation930.lean,false
